NORAD_ID,accuracy,precision,recall,f1,x_train_size,x_test_size,train_cnt_outlier,test_cnt_outlier
8195,0.022727272727272728,0.0,0.0,0.0,1232,308,251,301
16393,0.9629629629629629,0.0,0.0,0.0,1076,270,2,4
16396,0.8528610354223434,0.2,0.041666666666666664,0.06896551724137931,1467,367,358,48
16397,1.0,1.0,1.0,1.0,1449,363,54,2
16398,1.0,1.0,1.0,1.0,1402,351,169,2
32782,1.0,1.0,1.0,1.0,947,237,186,2
16402,0.20078740157480315,0.2857142857142857,0.01,0.01932367149758454,1015,254,524,200
16404,1.0,1.0,1.0,1.0,1480,370,40,1
16408,0.9348710990502035,0.0,0.0,0.0,2945,737,13,0
16409,0.9395161290322581,0.0,0.0,0.0,2974,744,0,0
40985,0.84375,1.0,0.10714285714285714,0.1935483870967742,1917,480,47,84
47227,0.345679012345679,1.0,0.04504504504504504,0.08620689655172414,647,162,231,111
47228,0.5341614906832298,1.0,0.013157894736842105,0.025974025974025976,642,161,201,76
16445,0.0,0.0,0.0,0.0,1888,473,163,473
16446,0.0,0.0,0.0,0.0,1849,463,343,463
16449,0.9953271028037384,0.0,0.0,0.0,2565,642,35,0
16450,0.9498432601880877,0.0,0.0,0.0,2551,638,8,0
16451,0.9857369255150554,0.0,0.0,0.0,2520,631,41,3
16452,0.9762658227848101,0.125,0.1111111111111111,0.11764705882352941,2527,632,77,9
16453,0.9543307086614173,0.0,0.0,0.0,2538,635,17,0
16454,0.9472843450479234,0.0,0.0,0.0,2502,626,53,10
16455,0.9375,0.0,0.0,0.0,2495,624,17,0
16456,0.8960629921259843,0.0,0.0,0.0,2538,635,53,1
16457,0.9547581903276131,0.0,0.0,0.0,2561,641,30,0
41032,0.794044665012407,0.6666666666666666,0.023809523809523808,0.04597701149425287,1608,403,738,84
41033,1.0,0.0,0.0,0.0,984,247,344,0
8285,0.9349206349206349,0.0,0.0,0.0,2518,630,0,0
8286,0.9727564102564102,0.0,0.0,0.0,2496,624,25,0
8287,0.9687010954616588,0.2857142857142857,0.5454545454545454,0.375,2554,639,43,11
8288,0.9314194577352473,0.0,0.0,0.0,2504,627,20,0
8289,0.9762658227848101,0.0,0.0,0.0,2525,632,5,0
8290,0.9742351046698873,0.0,0.0,0.0,2482,621,12,0
8291,0.9178515007898894,0.10344827586206896,1.0,0.1875,2532,633,72,6
8292,0.9060509554140127,0.0,0.0,0.0,2511,628,41,24
8293,0.9856527977044476,0.0,0.0,0.0,2785,697,26,0
8294,0.9813753581661891,0.0,0.0,0.0,2789,698,1,0
8295,0.9715189873417721,0.0,0.0,0.0,2526,632,66,3
24677,0.6145251396648045,0.7083333333333334,0.05944055944055944,0.10967741935483871,2860,716,1,286
24678,0.9591836734693877,0.0,0.0,0.0,2936,735,0,0
16493,0.9768076398362893,0.0,0.0,0.0,2932,733,0,0
16494,0.9597701149425287,0.0,0.0,0.0,2784,696,10,0
16495,0.9396551724137931,0.45454545454545453,0.5263157894736842,0.4878048780487805,2783,696,36,38
16496,0.9836956521739131,0.0,0.0,0.0,2944,736,1,0
16497,0.9950617283950617,0.6,1.0,0.75,1619,405,154,3
16510,0.9471488178025035,0.0,0.0,0.0,2873,719,0,0
16511,0.9444444444444444,0.0,0.0,0.0,2663,666,88,0
8325,0.9623233908948194,0.0,0.0,0.0,2547,637,0,0
8326,0.9414483821263482,0.0,0.0,0.0,2596,649,0,0
41099,0.9864575908766928,0.0,0.0,0.0,5611,1403,281,0
16527,0.14206128133704735,0.0,0.0,0.0,1432,359,189,308
41105,0.31631205673758866,1.0,0.07839388145315487,0.1453900709219858,2819,705,2200,523
41106,0.0372168284789644,0.9583333333333334,0.03727714748784441,0.0717628705148206,2468,618,248,617
16533,0.7312661498708011,1.0,0.08771929824561403,0.16129032258064516,1546,387,198,114
24725,1.0,0.0,0.0,0.0,2525,632,0,0
8343,0.9856527977044476,0.0,0.0,0.0,2788,697,1,1
8344,0.9587628865979382,0.0,0.0,0.0,2715,679,40,3
24726,0.9667721518987342,0.0,0.0,0.0,2528,632,39,8
24727,0.9317460317460318,0.0,0.0,0.0,2519,630,83,23
24728,0.97724399494311,0.5,0.05555555555555555,0.1,3162,791,89,18
24729,0.9483050847457627,0.0,0.0,0.0,4716,1180,111,19
24730,0.889308176100629,0.0,0.0,0.0,3176,795,371,87
24731,0.9813374805598756,0.0,0.0,0.0,2572,643,0,0
41121,0.47368421052631576,0.7254901960784313,0.09414758269720101,0.16666666666666666,2810,703,692,393
41122,0.3939393939393939,1.0,0.005235602094240838,0.010416666666666666,2508,627,0,382
8357,0.8738049713193117,0.4166666666666667,0.078125,0.13157894736842105,2088,523,0,64
24761,0.9874055415617129,0.0,0.0,0.0,1588,397,767,0
32953,0.9991379310344828,0.0,0.0,0.0,4636,1160,0,0
32954,0.9910600255427842,0.0,0.0,0.0,3128,783,0,0
24764,0.0,0.0,0.0,0.0,1726,432,337,432
32955,0.9639175257731959,0.0,0.0,0.0,3102,776,0,0
32956,1.0,1.0,1.0,1.0,3116,780,0,1
32957,0.9735202492211839,0.0,0.0,0.0,2568,642,33,0
24772,0.952247191011236,0.0,0.0,0.0,2846,712,0,0
24773,0.9686648501362398,0.0,0.0,0.0,2933,734,0,0
16593,0.03576982892690513,1.0,0.03576982892690513,0.06906906906906907,2570,643,889,643
16594,0.9307086614173228,0.06451612903225806,0.11764705882352941,0.08333333333333333,2538,635,90,17
41176,0.6462264150943396,1.0,0.10714285714285714,0.1935483870967742,845,212,234,84
24800,0.26448362720403024,1.0,0.0457516339869281,0.0875,1584,397,414,306
8419,0.971830985915493,0.0,0.0,0.0,2840,710,0,0
16611,0.9842180774748924,0.6,0.9375,0.7317073170731707,2785,697,69,16
8421,0.9404934687953556,0.7333333333333333,0.4,0.5176470588235295,2753,689,0,55
16612,0.9621318373071529,0.0,0.0,0.0,2851,713,0,0
24803,0.9657701711491442,1.0,0.7666666666666667,0.8679245283018868,1633,409,524,60
41191,0.7420333839150227,0.38461538461538464,0.09316770186335403,0.15,2635,659,262,161
41192,0.5594059405940595,1.0,0.011111111111111112,0.02197802197802198,1616,404,228,180
24815,0.40311804008908686,0.8333333333333334,0.01838235294117647,0.03597122302158273,1795,449,1135,272
24827,0.7722602739726028,1.0,0.10135135135135136,0.18404907975460122,2336,584,338,148
24829,0.9588336192109777,0.13043478260869565,0.42857142857142855,0.2,2331,583,112,7
16647,0.9914163090128756,0.25,1.0,0.4,2795,699,31,2
8458,0.9324712643678161,0.0,0.0,0.0,2780,696,1,0
8459,0.9695652173913043,0.0,0.0,0.0,2757,690,28,3
8473,0.6508379888268156,0.6666666666666666,0.00796812749003984,0.015748031496062992,2863,716,284,251
16667,0.9195979899497487,0.8571428571428571,0.16216216216216217,0.2727272727272727,1590,398,0,37
33059,0.9896049896049897,0.4444444444444444,1.0,0.6153846153846154,1922,481,1068,4
16676,1.0,1.0,1.0,1.0,1660,416,1,4
16681,0.9478260869565217,0.0,0.0,0.0,2758,690,0,0
16682,0.7994310099573257,0.2608695652173913,0.046153846153846156,0.0784313725490196,2811,703,154,130
33066,0.9199395770392749,0.0,0.0,0.0,2645,662,12,48
24894,0.6690997566909975,0.9,0.0625,0.11688311688311688,1642,411,0,144
8513,0.8933601609657947,0.0,0.0,0.0,1987,497,245,53
24897,0.47183098591549294,1.0,0.00881057268722467,0.017467248908296942,1700,426,559,227
8519,0.9169054441260746,0.1346153846153846,0.35,0.19444444444444445,2788,698,15,20
8520,0.9673758865248226,0.0,0.0,0.0,2820,705,0,0
16719,0.9121813031161473,0.0,0.0,0.0,2823,706,5,55
16720,0.9554937413073713,0.0,0.0,0.0,2873,719,9,0
33108,0.9782244556113903,0.0,0.0,0.0,2388,597,245,0
16727,0.9687924016282226,0.0,0.0,0.0,2945,737,0,0
16728,0.8902439024390244,0.0,0.0,0.0,2623,656,0,29
16729,0.9975961538461539,0.8,1.0,0.8888888888888888,1662,416,164,4
24919,0.58125,0.1,0.0051813471502590676,0.009852216748768473,1918,480,1111,193
33111,0.9750830564784053,0.0,0.0,0.0,2408,602,58,0
16732,0.9658314350797267,0.11764705882352941,1.0,0.21052631578947367,1756,439,0,2
